restaurant,features
1301, 174 113 68 69 64 1
1302, 86 220 48 62 113 65 66 64 1
1303, 90 106 113 68 69 64 1
1304, 113 65 66 88 0
1305, 5 119 50 204 109 65 66 64 0
1306, 113 187 89 66 88 1
1307, 178 214 125 65 66 72 0
1308, 92 222 50 204 209 49 116 65 74 72 229
1309, 36 142 65 74 168 229
1310, 164 175 174 171 214 48 62 198 6 42 89 91 88 0
1311, 214 5 119 106 6 59 68 66 64 1
1312, 174 209 84 65 66 64 1
1313, 222 123 181 177 214 5 119 84 68 66 64 1
1314, 68 66 64 1
1315, 214 5 119 50 204 21 203 129 129 89 91 72 229
1316, 5 119 199 65 66 64 1
1317, 6 15 96 99 65 91 88 0
1318, 158 164 172 173 5 119 48 62 48 62 36 46 89 91 64 0
1319, 71 90 222 179 177 187 68 69 67 230
1320, 54 6 187 89 91 64 0
1321, 80 6 187 65 91 88 0
1322, 123 20 68 66 88 0
1323, 225 222 164 6 65 66 88 1
1324, 220 113 162 65 91 88 0
1325, 174 178 103 50 204 48 62 43 43 6 215 65 66 64 1
1326, 84 65 66 64 1
1327, 214 13 218 65 91 168 0
1328, 174 77 48 62 36 65 66 64 0
1329, 92 80 158 172 173 6 49 116 89 91 88 0
1330, 214 13 206 65 66 64 0
1331, 105 222 40 198 146 6 156 65 66 67 0
1332, 178 77 39 46 197 65 91 72 229
1333, 43 31 65 91 88 0
1334, 92 179 77 40 6 65 66 64 0
1335, 172 173 199 68 66 88 1
1336, 92 80 222 5 119 77 50 204 13 49 116 65 91 72 0
1337, 84 65 91 64 1
1338, 90 177 37 84 134 135 133 230
1339, 164 214 40 65 66 64 229
1340, 77 50 204 39 49 89 91 88 0
1341, 177 174 214 37 77 6 65 69 64 1
1342, 220 113 65 66 88 0
1343, 113 65 66 64 1
1344, 123 214 220 13 113 68 66 88 0
1345, 214 113 65 66 88 0
1346, 211 65 66 168 0
1347, 225 174 178 108 65 91 72 0
1348, 179 181 177 174 54 86 48 62 84 68 69 133 230
1349, 89 91 88 0
1350, 225 222 164 143 28 36 68 66 67 1
1351, 178 3 130 65 91 72 0
1352, 7 42 89 91 88 0
1353, 174 172 173 178 5 119 48 62 194 192 89 91 88 0
1354, 92 225 80 222 77 50 204 40 198 146 6 39 52 65 91 88 0
1355, 214 5 119 129 129 215 89 91 88 0
1356, 222 5 119 103 43 3 130 65 91 64 0
1357, 43 209 6 59 65 66 88 0
1358, 225 90 174 106 48 62 6 65 66 64 1
1359, 92 80 27 45 113 162 65 91 88 0
1360, 181 174 171 220 113 65 66 64 1
1361, 80 5 119 40 156 65 91 64 229
1362, 80 174 50 204 50 204 113 162 89 91 88 0
1363, 92 90 222 158 181 174 172 173 48 62 42 89 66 67 230
1364, 90 179 181 174 172 173 54 220 43 6 68 69 67 230
1365, 36 116 65 66 88 0
1366, 113 65 66 88 0
1367, 214 5 119 36 89 91 88 0
1368, 40 156 89 91 88 0
1369, 20 110 89 91 88 0
1370, 113 65 66 64 0
1371, 54 220 6 27 45 65 66 88 0
1372, 123 214 129 129 68 91 168 229
1373, 220 84 68 69 64 1
1374, 164 175 214 129 129 196 65 66 88 0
1375, 158 164 175 94 5 119 6 194 192 89 91 88 0
1376, 80 222 164 31 65 91 64 0
1377, 71 43 6 28 59 65 66 64 1
1378, 172 173 50 204 6 89 91 72 0
1379, 65 91 72 229
1380, 113 65 91 88 0
1381, 23 222 94 54 106 113 68 66 64 1
1382, 177 113 68 66 64 1
1383, 115 65 91 72 0
1384, 80 36 65 91 72 0
1385, 5 119 113 65 91 88 0
1386, 174 13 113 68 66 88 1
1387, 90 222 179 181 174 7 106 198 42 84 68 69 133 1
1388, 225 158 5 119 48 62 6 196 89 91 88 0
1389, 222 84 65 66 64 1
1390, 164 214 6 39 59 89 91 88 0
1391, 123 214 218 65 66 72 229
1392, 92 80 214 36 65 91 72 229
1393, 174 54 84 187 65 66 64 1
1394, 65 91 72 0
1395, 90 222 170 172 173 54 106 86 43 113 68 66 67 1
1396, 80 158 5 119 126 129 129 89 91 72 0
1397, 113 68 69 64 1
1398, 113 65 66 64 0
1399, 225 222 179 177 209 113 68 66 64 1
1400, 115 65 91 88 0
1401, 158 174 172 173 7 5 119 128 113 89 66 64 1
1402, 113 89 91 88 0
1403, 174 6 199 68 66 88 230
1404, 174 13 84 65 66 88 0
1405, 115 68 66 64 1
1406, 178 214 5 119 109 65 66 88 0
1407, 172 173 54 143 198 209 42 59 65 66 64 0
1408, 225 164 172 173 106 198 43 6 68 66 64 1
1409, 89 91 88 0
1410, 222 172 173 54 5 119 113 65 66 67 1
1411, 50 204 115 65 66 88 0
1412, 158 54 48 62 6 99 89 91 88 0
1413, 92 158 5 119 50 204 113 89 91 72 0
1414, 220 6 59 127 68 66 64 1
1415, 158 164 172 173 54 5 119 48 62 198 6 18 39 6 89 91 88 0
1416, 187 65 66 88 0
1417, 92 158 172 173 6 59 99 73 91 88 0
1418, 220 198 209 6 89 91 64 0
1419, 65 91 88 0
1420, 43 85 65 66 64 1
1421, 174 77 209 13 108 65 91 88 0
1422, 54 5 119 6 89 91 88 0
1423, 113 65 66 64 0
1424, 171 36 218 65 66 64 0
1425, 225 90 222 179 172 173 54 143 13 113 68 66 67 1
1426, 222 178 13 113 68 91 72 0
1427, 80 164 175 198 129 129 194 192 196 89 91 88 0
1428, 164 175 214 6 89 91 88 0
1429, 89 91 88 0
1430, 71 90 105 179 177 174 171 170 94 172 173 106 103 86 42 134 135 133 230
1431, 5 119 113 162 162 68 91 72 0
1432, 179 177 174 7 37 146 42 84 65 69 133 1
1433, 222 174 171 172 173 43 218 65 91 64 1
1434, 115 65 66 88 0
1435, 71 225 90 222 170 172 173 128 199 68 66 64 1
1436, 80 36 51 68 66 64 0
1437, 222 158 54 6 6 89 91 88 0
1438, 6 65 91 88 0
1439, 158 172 173 5 119 129 129 73 91 88 0
1440, 92 80 158 164 5 119 50 204 129 129 196 89 91 88 0
1441, 77 50 204 40 113 65 66 64 1
1442, 92 80 54 5 119 129 129 196 65 91 88 0
1443, 6 89 74 168 229
1444, 225 103 6 113 65 91 88 0
1445, 105 123 40 146 156 68 91 88 229
1446, 116 130 65 91 72 0
1447, 222 50 204 129 129 68 66 88 0
1448, 65 66 88 0
1449, 222 84 65 66 64 1
1450, 179 214 50 204 48 62 113 116 89 91 88 0
1451, 225 179 77 59 84 156 65 91 88 0
1452, 164 172 173 31 65 91 64 0
1453, 89 91 88 0
1454, 164 174 171 50 204 113 65 66 64 1
1455, 95 65 66 88 229
1456, 113 65 66 88 1
1457, 90 179 86 220 43 84 68 66 64 1
1458, 86 13 209 84 65 66 88 1
1459, 214 50 204 21 203 129 129 89 74 72 229
1460, 175 174 59 89 91 88 0
1461, 225 5 119 36 65 91 72 0
1462, 68 91 88 229
1463, 178 76 89 91 88 0
1464, 164 6 15 194 192 89 91 88 0
1465, 36 68 91 72 0
1466, 50 204 110 65 66 64 1
1467, 214 5 119 48 62 113 89 91 88 0
1468, 23 94 106 113 68 66 64 1
1469, 84 65 66 88 0
1470, 143 6 84 65 66 64 1
1471, 65 91 88 0
1472, 92 158 172 173 54 113 89 91 67 0
1473, 5 119 43 27 45 194 192 65 91 88 0
1474, 179 84 89 91 88 0
1475, 68 91 72 0
1476, 90 222 179 94 106 143 86 209 6 96 134 69 67 230
1477, 179 177 94 214 5 119 106 40 198 6 89 91 88 0
1478, 220 113 65 66 64 0
1479, 113 65 66 64 0
1480, 80 222 21 203 129 129 65 91 88 229
1481, 54 113 65 91 64 1
1482, 158 175 7 220 6 113 89 91 64 0
1483, 48 62 115 65 66 88 0
1484, 225 80 222 164 175 172 173 214 50 204 198 6 65 69 67 0
1485, 177 174 171 170 106 37 103 48 62 146 6 65 69 67 1
1486, 80 175 5 119 6 99 65 74 72 229
1487, 113 68 69 67 230
1488, 225 179 181 177 113 68 69 64 1
1489, 209 206 68 66 88 0
1490, 59 65 66 64 0
1491, 113 65 66 88 1
1492, 92 158 172 173 54 209 129 129 196 89 91 64 0
1493, 164 181 94 106 84 89 91 88 0
1494, 43 218 65 66 88 0
1495, 158 7 220 146 6 89 66 67 1
1496, 158 175 172 173 5 119 6 99 89 91 64 0
1497, 178 220 207 65 66 88 0
1498, 222 6 199 65 66 64 1
1499, 166 65 91 72 229
1500, 5 119 36 68 66 67 1
1501, 179 177 171 5 119 37 143 86 77 198 146 6 84 68 69 133 1
1502, 113 65 66 64 1
1503, 80 54 5 119 113 65 91 88 1
1504, 222 175 174 172 173 50 204 6 96 199 65 66 88 1
1505, 222 123 214 48 62 6 194 192 68 66 64 0
1506, 5 119 84 65 91 88 0
1507, 54 214 5 119 43 113 65 66 64 0
1508, 80 50 204 36 68 91 72 0
1509, 214 84 89 91 88 0
1510, 113 65 66 88 0
1511, 92 80 222 158 172 173 5 119 77 50 204 52 99 89 91 72 229
1512, 48 62 84 65 66 64 1
1513, 225 5 119 84 89 91 88 0
1514, 209 113 65 66 88 0
1515, 174 214 6 89 91 88 0
1516, 214 113 89 91 88 0
1517, 54 113 65 91 64 1
1518, 5 119 83 65 91 168 229
1519, 77 146 39 65 91 72 229
1520, 113 68 69 67 1
1521, 90 222 181 94 54 106 50 204 84 68 66 67 1
1522, 209 113 127 65 66 64 1
1523, 174 220 84 65 66 64 1
1524, 177 174 115 142 68 66 67 1
1525, 225 177 174 50 204 115 89 91 88 0
1526, 80 222 158 54 6 99 199 89 91 64 0
1527, 92 225 222 158 154 54 50 33 6 89 91 88 229
1528, 222 53 119 154 54 178 62 129 129 215 65 91 88 229
1529, 225 222 140 154 77 50 33 109 215 68 66 72 229
1530, 225 172 173 154 33 36 65 91 88 229
1531, 92 225 80 204 222 172 173 50 33 190 6 6 65 66 88 229
1532, 222 172 173 154 54 178 62 48 33 127 130 65 91 88 229
1533, 225 154 7 195 33 15 68 66 72 229
1534, 8 154 206 68 91 72 0
1535, 92 80 140 154 33 39 52 68 91 64 229
1536, 222 177 154 54 178 6 39 52 59 89 91 64 229
1537, 92 225 222 172 173 154 13 129 129 65 91 72 229
1538, 225 204 172 173 154 54 220 33 87 68 66 67 0
1539, 92 225 80 222 172 173 154 54 33 39 52 89 91 64 229
1540, 225 222 154 62 50 48 33 130 65 66 64 0
1541, 225 204 222 181 172 173 154 50 33 84 68 66 64 0
1542, 225 204 123 172 173 50 42 68 69 64 0
1543, 92 71 225 204 94 172 173 154 77 33 22 43 6 68 69 64 0
1544, 225 204 217 172 173 154 50 33 36 206 65 66 88 229
1545, 225 90 204 222 53 119 172 173 154 62 77 22 190 6 68 69 67 0
1546, 225 222 217 154 115 65 66 88 0
1547, 222 172 173 154 178 33 109 65 66 72 0
1548, 71 225 222 217 170 94 154 106 22 190 113 68 69 67 0
1549, 92 225 90 222 172 173 154 62 195 77 22 194 192 89 91 88 0
1550, 23 225 80 222 154 54 190 6 6 98 68 69 64 0
1551, 225 80 204 222 94 54 106 220 190 113 162 65 66 64 0
1552, 123 6 42 68 69 67 0
1553, 225 90 181 217 177 170 172 173 154 136 86 33 22 113 68 69 64 1
1554, 92 225 80 222 172 173 154 54 190 126 129 129 65 66 64 229
1555, 222 172 173 154 37 43 187 65 66 64 0
1556, 225 204 222 154 22 113 65 66 64 0
1557, 23 92 80 222 154 54 6 98 65 66 64 229
1558, 90 140 181 177 172 173 154 54 37 62 22 43 6 215 68 69 67 1
1559, 92 225 222 172 173 154 54 178 77 33 190 43 129 129 196 68 66 64 229
1560, 225 222 154 54 178 129 129 68 91 88 229
1561, 90 217 172 173 154 37 103 86 77 22 6 65 66 67 0
1562, 92 225 204 179 154 49 65 66 88 229
1563, 225 222 172 173 154 109 65 66 88 229
1564, 225 105 204 140 179 172 173 154 54 195 50 33 59 65 66 64 229
1565, 181 177 172 173 154 54 77 42 65 66 67 0
1566, 92 225 204 123 172 173 154 33 42 68 69 64 0
1567, 225 105 204 222 181 177 53 119 172 173 154 54 77 39 52 65 66 67 229
1568, 225 172 173 154 33 206 68 66 64 0
1569, 23 225 90 204 222 172 173 154 50 22 115 68 66 67 0
1570, 225 222 172 173 33 218 65 66 88 229
1571, 92 225 80 222 94 154 54 178 5 119 162 65 91 88 229
1572, 225 94 154 77 206 68 66 64 0
1573, 92 225 80 172 173 154 50 33 13 36 89 66 88 229
1574, 92 225 222 217 172 173 154 136 33 115 68 66 67 0
1575, 225 204 195 26 194 192 68 91 72 229
1576, 225 154 195 13 39 52 194 192 65 66 88 229
1577, 225 222 177 172 173 154 50 33 42 84 84 65 66 64 0
1578, 225 204 222 179 94 172 173 154 220 195 194 192 65 66 88 229
1579, 225 204 123 172 173 154 178 62 13 46 197 65 66 64 0
1580, 225 154 36 68 66 64 229
1581, 92 225 172 173 54 95 65 66 64 0
1582, 92 225 222 217 172 173 115 199 65 66 64 0
1583, 225 222 172 173 154 54 33 113 65 66 64 0
1584, 225 204 140 154 77 104 215 89 91 72 229
1585, 92 225 204 222 172 173 154 54 33 199 65 66 64 0
1586, 225 204 222 154 178 27 45 65 66 88 229
1587, 225 204 222 140 217 154 54 33 116 116 127 130 65 66 72 229
1588, 225 222 172 173 154 54 33 113 65 91 72 229
1589, 225 204 222 181 172 173 154 50 33 84 65 66 64 0
1590, 92 225 204 172 173 154 7 209 194 192 199 65 91 88 0
1591, 225 204 222 154 62 48 6 98 65 91 72 229
1592, 92 222 179 172 173 7 220 195 6 194 192 65 69 67 0
1593, 225 222 179 172 173 154 209 187 68 66 88 0
1594, 172 173 54 220 113 65 66 64 0
1595, 92 225 204 222 172 173 154 62 209 187 89 91 88 0
1596, 225 222 140 181 217 172 173 154 136 183 68 66 64 0
1597, 225 222 158 172 173 154 54 178 5 119 62 50 33 190 129 129 89 91 88 229
1598, 92 225 222 179 172 173 154 54 77 50 33 49 68 91 64 229
1599, 225 90 204 222 172 173 154 50 22 6 199 68 66 64 0
1600, 225 222 170 172 173 154 106 62 22 6 65 66 64 0
1601, 225 90 179 174 172 173 154 54 7 103 86 220 195 22 42 194 192 65 66 67 0
1602, 225 204 179 217 154 50 209 187 65 66 88 0
1603, 92 225 222 158 154 33 126 129 129 89 91 72 229
1604, 92 204 178 195 33 194 192 68 91 72 229
1605, 154 36 68 66 88 229
1606, 92 225 80 222 172 173 154 178 77 190 162 65 91 88 229
1607, 23 92 90 204 222 154 37 22 113 65 66 67 0
1608, 126 129 129 89 91 72 229
1609, 225 204 181 172 173 154 33 113 65 66 88 0
1610, 92 225 204 179 171 57 172 173 154 220 6 42 65 66 88 0
1611, 92 222 154 178 33 15 194 192 65 91 72 229
1612, 225 204 179 172 173 154 220 33 42 84 65 66 64 0
1613, 225 172 173 154 5 119 50 33 36 89 91 88 229
1614, 225 154 178 39 52 104 65 91 72 229
1615, 225 204 140 179 154 54 77 33 104 215 65 91 72 229
1616, 225 222 181 217 154 136 22 209 113 65 69 64 1
1617, 222 123 154 37 109 68 69 88 0
1618, 92 225 172 173 154 62 48 113 89 66 88 0
1619, 204 181 154 178 84 65 66 88 0
1620, 225 204 172 173 154 54 33 87 65 91 72 229
1621, 225 222 172 173 5 119 106 115 65 66 64 0
1622, 225 204 172 173 33 27 45 68 66 88 0
1623, 204 222 154 54 178 50 33 31 46 65 66 64 229
1624, 225 204 222 175 172 173 154 54 5 119 33 190 6 73 91 88 229
1625, 92 225 222 172 173 154 33 127 130 215 68 69 88 0
1626, 23 92 90 222 181 174 172 173 154 37 22 127 68 66 67 1
1627, 204 222 94 54 106 77 33 190 6 113 65 66 64 0
1628, 92 225 204 172 173 154 195 50 33 15 194 192 65 66 72 229
1629, 92 225 179 172 173 154 50 33 36 65 66 88 229
1630, 92 225 204 123 154 54 178 33 13 6 27 45 68 66 72 229
1631, 179 94 172 173 154 106 195 77 6 39 52 194 192 65 66 88 229
1632, 225 222 172 173 154 178 33 13 218 68 66 72 229
1633, 92 204 222 170 172 173 154 37 7 62 195 194 192 65 66 88 229
1634, 225 172 173 154 178 62 33 43 4 65 66 72 229
1635, 71 225 204 222 53 119 94 154 54 106 31 59 187 68 69 64 0
1636, 222 170 94 172 173 154 136 7 22 6 6 42 68 69 133 1
1637, 225 204 140 154 103 62 33 209 6 104 215 65 66 88 229
1638, 204 53 119 154 187 65 66 88 229
1639, 71 90 204 222 217 174 94 172 173 154 37 77 6 68 69 64 0
1640, 225 204 154 54 5 119 190 187 89 91 64 229
1641, 36 65 66 64 0
1642, 92 225 222 172 173 54 178 33 13 31 46 65 66 88 229
1643, 92 90 204 174 172 173 154 54 37 62 22 6 68 66 67 0
1644, 222 154 54 6 113 65 66 64 0
1645, 222 158 154 62 33 113 65 91 88 229
1646, 225 172 173 154 5 119 50 33 36 68 66 88 229
1647, 225 204 222 154 54 50 113 65 66 67 0
1648, 90 222 177 174 172 173 154 37 22 13 115 68 69 67 1
1649, 71 225 204 50 190 6 65 66 64 0
1650, 225 204 222 172 173 154 42 84 113 113 65 66 64 0
1651, 222 123 172 173 154 33 115 68 66 64 0
1652, 204 179 181 177 172 173 154 54 136 220 62 50 33 6 84 65 66 64 0
1653, 225 204 222 217 172 173 154 54 33 113 65 66 64 0
1654, 225 222 154 178 77 109 89 66 88 229
1655, 92 225 204 179 181 177 154 62 6 65 69 67 0
1656, 181 172 173 154 113 65 66 88 0
1657, 225 222 94 154 54 178 31 65 91 88 229
1658, 225 222 94 154 54 77 190 43 152 68 66 64 0
1659, 225 154 43 43 6 129 129 196 68 66 64 0
1660, 225 204 181 154 54 113 65 66 64 0
1661, 225 222 177 172 173 154 206 65 66 64 229
1662, 225 222 154 54 62 33 15 65 91 88 229
1663, 225 204 222 140 172 173 178 77 33 43 6 68 66 88 229
1664, 225 222 123 154 178 33 109 65 66 88 229
1665, 23 92 225 80 222 140 172 173 154 77 43 162 65 66 88 229
1666, 92 154 33 209 39 52 49 116 65 91 72 229
1667, 123 154 54 50 33 194 192 65 66 88 229
1668, 225 154 5 119 33 36 65 66 88 229
1669, 222 172 173 154 37 113 65 66 64 0
1670, 92 225 222 179 154 77 33 22 15 65 91 72 229
1671, 92 225 80 222 172 173 154 54 103 50 33 113 65 66 88 229
1672, 92 80 222 179 181 172 173 154 7 62 6 68 69 67 0
1673, 92 225 204 172 173 154 54 62 33 113 65 91 88 229
1674, 225 90 181 154 54 106 62 36 68 69 67 0
1675, 225 90 181 154 54 106 62 36 134 69 133 1
1676, 92 80 222 33 95 113 65 91 72 229
1677, 92 204 222 158 94 172 173 154 54 5 119 220 77 190 6 194 192 89 91 88 229
1678, 204 222 179 172 173 154 33 113 65 66 88 0
1679, 92 225 204 222 154 77 190 199 65 66 64 0
1680, 225 204 222 175 94 172 173 154 54 33 61 89 66 64 229
1681, 209 49 68 91 72 229
1682, 225 172 173 154 33 22 36 65 66 64 0
1683, 225 204 222 140 179 178 103 77 104 68 66 72 229
1684, 92 225 222 154 54 6 49 65 66 64 0
1685, 92 225 80 204 222 179 174 172 173 154 103 62 33 190 6 187 65 66 64 0
1686, 92 225 80 204 222 140 172 173 154 220 190 6 187 199 65 66 88 0
1687, 92 225 204 222 154 190 6 65 66 64 0
1688, 225 222 94 54 178 5 119 106 190 6 46 98 65 66 64 0
1689, 92 225 80 222 158 217 171 57 172 173 154 54 220 48 33 6 89 91 67 0
1690, 71 225 90 222 181 53 119 171 57 172 173 154 7 220 62 190 43 201 65 66 67 0
1691, 92 225 204 222 172 173 154 33 187 65 66 88 229
1692, 92 225 204 222 154 103 33 42 113 65 66 88 0
1693, 71 225 90 204 181 177 154 54 136 50 22 209 209 113 134 69 67 1
1694, 92 225 80 222 154 54 50 33 190 113 162 65 91 88 229
1695, 92 225 222 171 57 172 173 154 54 13 113 89 91 88 229
1696, 71 90 222 181 217 172 173 154 7 62 22 42 84 65 66 67 1
1697, 8 225 90 222 181 174 172 173 7 220 22 194 192 68 69 67 0
1698, 225 222 154 54 190 6 65 66 64 229
1699, 92 225 222 172 173 62 48 6 42 65 66 67 0
1700, 225 90 222 181 217 171 57 170 172 173 154 54 220 62 22 209 42 68 69 67 1
1701, 92 225 80 222 54 50 33 113 162 68 66 88 229
1702, 92 225 140 158 154 54 50 33 39 52 89 91 88 229
1703, 222 172 173 154 54 195 6 196 68 66 64 0
1704, 222 54 178 113 162 65 66 88 0
1705, 71 90 222 181 217 154 136 37 22 42 183 68 69 133 230
1706, 225 154 39 52 49 116 65 91 72 229
1707, 222 140 209 36 206 65 66 88 229
1708, 92 225 204 172 173 113 65 66 88 229
1709, 92 225 222 123 172 173 154 54 33 109 68 91 88 0
1710, 225 181 172 173 154 62 6 42 65 66 64 0
1711, 71 225 90 181 217 177 172 173 154 136 103 62 22 42 134 69 67 1
1712, 225 204 177 172 173 154 54 33 209 180 65 66 64 0
1713, 189 92 225 204 123 217 154 77 115 68 66 64 0
1714, 92 225 179 154 54 50 33 49 65 91 72 229
1715, 92 225 222 158 154 54 5 119 190 6 49 89 91 64 229
1716, 92 225 204 154 50 33 6 89 91 88 229
1717, 225 222 158 172 173 154 54 77 50 33 49 89 91 88 229
1718, 225 204 222 172 173 154 54 178 190 6 59 89 91 64 229
1719, 222 123 154 214 206 68 66 88 229
1720, 225 90 204 222 62 77 22 190 6 6 65 66 64 0
1721, 71 225 204 222 170 94 154 106 22 190 6 68 69 133 0
1722, 225 204 217 154 54 190 6 65 66 64 0
1723, 225 222 172 173 154 50 33 109 65 66 64 229
1724, 225 80 204 222 154 54 77 33 27 45 65 91 88 229
1725, 225 204 222 172 173 154 54 77 190 187 65 66 64 0
1726, 222 181 62 6 89 66 88 0
1727, 71 90 181 172 173 154 136 62 42 84 68 69 67 1
1728, 225 204 222 172 173 154 54 178 62 113 65 91 88 229
1729, 92 90 80 179 172 173 154 37 199 89 66 67 0
1730, 92 172 173 154 36 68 66 88 0
1731, 71 225 204 222 154 54 106 190 43 6 152 187 68 69 64 0
1732, 225 154 33 36 68 69 64 0
1733, 189 92 225 80 77 6 65 91 88 229
1734, 225 204 222 175 53 119 154 54 5 119 190 199 65 66 64 0
1735, 8 154 206 68 66 88 229
1736, 92 225 222 53 119 154 54 33 190 6 6 89 91 88 229
1737, 92 8 225 222 140 154 33 109 68 66 72 229
1738, 225 172 173 154 33 36 65 66 64 0
1739, 225 181 172 173 154 220 62 33 84 65 66 64 0
1740, 92 225 204 181 217 172 173 154 54 220 33 13 84 65 66 64 0
1741, 225 174 172 173 154 103 50 33 109 68 66 64 0
1742, 92 225 204 222 172 173 154 220 62 33 113 65 66 64 0
1743, 92 225 140 181 217 174 94 172 173 154 62 209 43 4 127 65 69 67 1
1744, 71 90 204 181 154 214 106 77 84 134 69 67 1
1745, 92 225 80 222 154 6 39 52 65 66 64 229
1746, 225 204 123 217 154 113 65 66 88 0
1747, 8 225 181 172 173 154 220 113 68 66 64 0
1748, 225 204 222 217 172 173 154 103 220 187 65 66 88 229
1749, 92 8 225 204 181 172 173 154 220 43 6 59 68 69 67 0
1750, 225 204 222 172 173 154 54 220 62 33 113 65 66 64 0
1751, 92 225 222 113 68 69 64 0
1752, 23 90 222 174 53 119 171 57 172 173 154 37 190 42 187 65 66 64 0
1753, 8 225 204 222 140 123 154 54 178 220 195 6 6 134 69 64 229
1754, 225 204 222 154 178 33 4 65 66 88 229
1755, 92 225 80 204 158 154 54 106 77 33 6 39 52 215 89 66 88 229
1756, 225 204 179 177 172 173 220 50 209 6 42 187 65 69 67 0
1757, 71 225 90 181 217 177 172 173 136 22 42 68 69 67 1
1758, 92 80 13 129 129 65 66 72 229
1759, 92 225 204 222 172 173 154 54 220 22 209 199 89 66 64 0
1760, 225 217 172 173 154 209 36 68 66 72 229
1761, 71 90 222 170 172 173 154 103 220 77 22 209 6 187 199 134 69 67 1
1762, 92 225 172 173 178 195 50 33 15 68 91 72 229
1763, 204 181 172 173 154 62 50 84 65 66 88 0
1764, 92 225 204 222 179 172 173 154 195 33 187 89 91 72 229
1765, 225 204 172 173 54 103 77 50 33 6 26 68 66 88 229
1766, 92 225 179 172 173 154 54 103 50 33 36 65 66 88 229
1767, 225 172 173 154 5 119 36 117 68 66 64 229
1768, 90 204 222 181 172 173 154 106 77 22 6 68 69 67 0
1769, 225 222 140 179 154 54 103 77 50 33 6 65 66 88 229
1770, 222 172 173 206 68 66 88 0
1771, 71 225 222 172 173 154 54 190 59 65 66 64 0
1772, 225 222 140 172 173 154 178 62 13 129 129 65 66 64 0
1773, 225 222 217 172 173 154 33 187 89 91 88 0
1774, 92 225 80 222 54 33 113 162 68 66 72 229
1775, 225 204 172 173 154 33 36 89 91 72 229
1776, 225 140 179 172 173 154 54 7 195 33 6 65 66 67 0
1777, 129 129 68 66 88 229
1778, 92 225 80 222 94 172 173 154 54 7 77 50 33 98 65 66 88 229
1779, 92 225 80 204 222 158 154 77 187 89 66 88 0
1780, 92 204 222 181 174 172 173 154 220 62 195 48 33 13 194 192 89 66 64 0
1781, 225 204 222 123 177 172 173 154 214 33 59 65 66 64 0
1782, 189 222 172 173 154 33 206 65 66 88 229
1783, 92 225 222 172 173 154 195 33 15 194 192 68 66 88 229
1784, 204 222 172 173 154 54 33 46 68 91 72 229
1785, 225 222 179 217 172 173 154 33 22 113 68 66 64 0
1786, 225 154 36 68 91 72 229
1787, 92 222 158 172 173 54 62 50 48 33 15 89 66 88 229
1788, 225 204 222 140 172 173 154 178 33 194 192 215 65 66 88 229
1789, 225 204 222 140 172 173 154 178 33 194 192 215 65 66 64 229
1790, 225 204 222 174 170 94 172 173 154 54 33 190 6 98 65 66 64 0
1791, 225 174 171 57 172 173 154 62 48 197 73 91 88 0
1792, 225 222 123 172 173 154 33 115 68 69 64 0
1793, 71 225 90 181 217 177 154 136 33 42 134 69 133 1
1794, 224 221 22 113 68 66 64 0
1795, 221 123 177 145 6 89 91 88 0
1796, 224 80 221 220 223 139 54 178 5 146 113 65 91 64 0
1797, 224 221 220 223 139 115 141 68 66 72 229
1798, 68 66 64 0
1799, 224 123 220 223 178 13 13 130 68 66 72 0
1800, 90 221 155 173 6 28 65 66 67 1
1801, 173 136 37 62 43 115 68 69 67 1
1802, 224 90 181 173 62 22 113 89 91 88 0
1803, 80 221 220 223 139 173 214 119 190 28 65 66 64 0
1804, 224 80 221 173 78 81 226 27 45 68 66 64 0
1805, 224 221 220 223 170 54 190 113 68 66 67 0
1806, 224 220 223 78 81 226 146 157 68 66 88 229
1807, 92 224 221 220 223 145 62 129 129 65 66 64 0
1808, 224 221 113 65 66 64 0
1809, 224 221 179 181 173 54 145 28 84 127 68 69 67 1
1810, 224 80 221 220 223 178 145 16 75 68 91 168 229
1811, 221 220 223 178 13 27 45 68 91 72 229
1812, 224 62 48 130 68 69 67 0
1813, 92 224 221 220 223 139 145 43 43 28 68 66 88 0
1814, 224 221 179 220 223 139 49 65 66 72 229
1815, 92 224 221 28 65 66 64 0
1816, 224 221 220 223 161 13 209 113 68 66 64 0
1817, 90 221 181 177 214 215 104 68 66 64 0
1818, 224 220 223 113 65 66 64 0
1819, 71 224 123 173 171 84 17 68 69 64 0
1820, 92 224 80 221 220 223 145 214 190 6 65 66 64 0
1821, 23 224 158 221 220 223 139 106 6 15 65 66 64 0
1822, 224 80 214 119 5 190 43 28 65 91 64 1
1823, 224 221 220 223 173 62 13 209 126 129 129 65 66 88 0
1824, 224 221 220 223 173 119 62 190 6 65 66 64 0
1825, 221 220 223 178 214 206 89 91 88 0
1826, 224 221 123 179 139 49 118 68 91 72 229
1827, 92 71 224 221 220 223 161 106 78 81 226 190 151 68 66 64 0
1828, 224 123 139 173 36 68 66 88 0
1829, 221 214 115 89 91 88 0
1830, 220 223 139 178 145 106 146 190 215 104 65 66 88 229
1831, 221 220 223 214 146 113 89 91 88 0
1832, 224 221 220 223 170 94 54 106 22 190 113 65 66 64 0
1833, 92 71 224 221 220 223 145 106 22 190 113 65 66 67 0
1834, 224 13 113 68 66 88 0
